Customer Name,Customer Email,Store Name,Date of Purchase,Product Name,Quantity,Price per Unit
Kathy Jones,ucook@example.net,ABC Foodmart - Bay Ridge,7/14/2023 0:17,Roses,6,155.82
Kathy Jones,ucook@example.net,ABC Foodmart - Bay Ridge,7/14/2023 0:17,Roast Beef,10,147.62
Kathy Jones,ucook@example.net,ABC Foodmart - Bay Ridge,7/14/2023 0:17,Frozen Pizza,10,26.13
Kathy Jones,ucook@example.net,ABC Foodmart - Bay Ridge,7/14/2023 0:17,Cough Syrup,8,53.08
Kathy Jones,ucook@example.net,ABC Foodmart - Bay Ridge,7/14/2023 0:17,Lettuce,8,83.83
Kathy Jones,ucook@example.net,ABC Foodmart - Bay Ridge,7/14/2023 0:17,Juice,1,117.04
Kathy Jones,ucook@example.net,ABC Foodmart - Bay Ridge,7/14/2023 0:17,Ice Cream,1,154.62
Kathy Jones,ucook@example.net,ABC Foodmart - Bay Ridge,7/14/2023 0:17,Sunflowers,8,67.68
Kathy Jones,ucook@example.net,ABC Foodmart - Bay Ridge,7/14/2023 0:17,Pasta,2,59.32
Kathy Jones,ucook@example.net,ABC Foodmart - Bay Ridge,7/14/2023 0:17,Bagel,10,46.86
Kathy Jones,ucook@example.net,ABC Foodmart - Bay Ridge,7/14/2023 0:17,Pasta,6,70.43
Kathy Jones,ucook@example.net,ABC Foodmart - Bay Ridge,7/14/2023 0:17,Beans,6,57.56
Kathy Jones,ucook@example.net,ABC Foodmart - Bay Ridge,7/14/2023 0:17,Frozen Vegetables,7,61.16
Richard Diaz,stephanie93@example.com,ABC Foodmart - Tribeca,8/3/2023 11:28,Apples,7,136.67
Richard Diaz,stephanie93@example.com,ABC Foodmart - Tribeca,8/3/2023 11:28,Carrots,6,49.66
Richard Diaz,stephanie93@example.com,ABC Foodmart - Tribeca,8/3/2023 11:28,Band-Aids,5,71.76
Richard Diaz,stephanie93@example.com,ABC Foodmart - Tribeca,8/3/2023 11:28,Band-Aids,1,60.41
Richard Diaz,stephanie93@example.com,ABC Foodmart - Tribeca,8/3/2023 11:28,Band-Aids,6,83.36
Richard Diaz,stephanie93@example.com,ABC Foodmart - Tribeca,8/3/2023 11:28,Cough Syrup,10,65.53
Richard Diaz,stephanie93@example.com,ABC Foodmart - Tribeca,8/3/2023 11:28,Milk,6,80.16
Richard Diaz,stephanie93@example.com,ABC Foodmart - Tribeca,8/3/2023 11:28,Turkey Breast,10,2.51
Richard Diaz,stephanie93@example.com,ABC Foodmart - Tribeca,8/3/2023 11:28,Roast Beef,9,107.94
Richard Diaz,stephanie93@example.com,ABC Foodmart - Tribeca,8/3/2023 11:28,Lettuce,2,6.66
Richard Diaz,stephanie93@example.com,ABC Foodmart - Tribeca,8/3/2023 11:28,Ice Cream,10,2.25
Richard Diaz,stephanie93@example.com,ABC Foodmart - Tribeca,8/3/2023 11:28,Apples,3,23.59
Steven Medina,dsanchez@example.net,ABC Foodmart - DUMBO,5/11/2023 0:50,Rice,7,147.47
Steven Medina,dsanchez@example.net,ABC Foodmart - DUMBO,5/11/2023 0:50,Frozen Pizza,3,142.16
Steven Medina,dsanchez@example.net,ABC Foodmart - DUMBO,5/11/2023 0:50,Lettuce,8,67.89
Steven Medina,dsanchez@example.net,ABC Foodmart - DUMBO,5/11/2023 0:50,Carrots,8,1.33
Steven Medina,dsanchez@example.net,ABC Foodmart - DUMBO,5/11/2023 0:50,Pasta,5,132.28
Steven Medina,dsanchez@example.net,ABC Foodmart - DUMBO,5/11/2023 0:50,Roast Beef,8,68.13
Steven Medina,dsanchez@example.net,ABC Foodmart - DUMBO,5/11/2023 0:50,Sunflowers,10,117.26
Steven Medina,dsanchez@example.net,ABC Foodmart - DUMBO,5/11/2023 0:50,Chicken Breast,2,13.74
Steven Medina,dsanchez@example.net,ABC Foodmart - DUMBO,5/11/2023 0:50,Bagel,4,48.25
Steven Medina,dsanchez@example.net,ABC Foodmart - DUMBO,5/11/2023 0:50,Milk,2,67.89
Steven Medina,dsanchez@example.net,ABC Foodmart - DUMBO,5/11/2023 0:50,Frozen Pizza,7,115.2
Steven Medina,dsanchez@example.net,ABC Foodmart - DUMBO,5/11/2023 0:50,Roses,10,138.64
Steven Medina,dsanchez@example.net,ABC Foodmart - DUMBO,5/11/2023 0:50,Apples,4,114.7
Angela Washington,vickimitchell@example.com,ABC Foodmart - Bay Ridge,5/14/2023 12:29,Beef Steak,4,62.98
Angela Washington,vickimitchell@example.com,ABC Foodmart - Bay Ridge,5/14/2023 12:29,Water,10,133.95
Angela Washington,vickimitchell@example.com,ABC Foodmart - Bay Ridge,5/14/2023 12:29,Lobster,6,34.14
Angela Washington,vickimitchell@example.com,ABC Foodmart - Bay Ridge,5/14/2023 12:29,Sunflowers,7,4.18
Angela Washington,vickimitchell@example.com,ABC Foodmart - Bay Ridge,5/14/2023 12:29,Roses,7,118.41
Angela Washington,vickimitchell@example.com,ABC Foodmart - Bay Ridge,5/14/2023 12:29,Pasta,8,68.24
Angela Washington,vickimitchell@example.com,ABC Foodmart - Bay Ridge,5/14/2023 12:29,Cough Syrup,8,66.54
Angela Washington,vickimitchell@example.com,ABC Foodmart - Bay Ridge,5/14/2023 12:29,Pork Loin,10,50.98
Angela Washington,vickimitchell@example.com,ABC Foodmart - Bay Ridge,5/14/2023 12:29,Cough Syrup,9,146.58
Valerie Crawford,sabrinawade@example.org,ABC Foodmart - Whitestone,10/15/2023 10:40,Juice,5,32.57
Valerie Crawford,sabrinawade@example.org,ABC Foodmart - Whitestone,10/15/2023 10:40,Pork Loin,7,34.85
Valerie Crawford,sabrinawade@example.org,ABC Foodmart - Whitestone,10/15/2023 10:40,Pasta,4,6.68
Valerie Crawford,sabrinawade@example.org,ABC Foodmart - Whitestone,10/15/2023 10:40,Pork Loin,10,55.32
Valerie Crawford,sabrinawade@example.org,ABC Foodmart - Whitestone,10/15/2023 10:40,Lettuce,4,120.24
Valerie Crawford,sabrinawade@example.org,ABC Foodmart - Whitestone,10/15/2023 10:40,Turkey Breast,8,122.11
Valerie Crawford,sabrinawade@example.org,ABC Foodmart - Whitestone,10/15/2023 10:40,Apples,1,6.33
Valerie Crawford,sabrinawade@example.org,ABC Foodmart - Whitestone,10/15/2023 10:40,Yogurt,4,63.74
Heather Harris,colleenbanks@example.net,ABC Foodmart - Staten Island,1/1/2024 13:27,Carrots,3,29.87
Heather Harris,colleenbanks@example.net,ABC Foodmart - Staten Island,1/1/2024 13:27,Croissant,1,72.09
Heather Harris,colleenbanks@example.net,ABC Foodmart - Staten Island,1/1/2024 13:27,Turkey Breast,2,4.95
Heather Harris,colleenbanks@example.net,ABC Foodmart - Staten Island,1/1/2024 13:27,Turkey Breast,5,53.38
Heather Harris,colleenbanks@example.net,ABC Foodmart - Staten Island,1/1/2024 13:27,Bagel,6,60.19
Heather Harris,colleenbanks@example.net,ABC Foodmart - Staten Island,1/1/2024 13:27,Croissant,6,122.9
Heather Harris,colleenbanks@example.net,ABC Foodmart - Staten Island,1/1/2024 13:27,Lobster,3,140.84
Heather Harris,colleenbanks@example.net,ABC Foodmart - Staten Island,1/1/2024 13:27,Rice,6,135.14
Heather Harris,colleenbanks@example.net,ABC Foodmart - Staten Island,1/1/2024 13:27,Frozen Vegetables,10,160.78
Heather Harris,colleenbanks@example.net,ABC Foodmart - Staten Island,1/1/2024 13:27,Carrots,5,58.72
Heather Harris,colleenbanks@example.net,ABC Foodmart - Staten Island,1/1/2024 13:27,Water,8,114.85
Heather Harris,colleenbanks@example.net,ABC Foodmart - Staten Island,1/1/2024 13:27,Yogurt,10,9.54
Michael Tate,barbara17@example.net,ABC Foodmart - Bay Ridge,4/22/2023 15:27,Sunflowers,9,79.61
Michael Tate,barbara17@example.net,ABC Foodmart - Bay Ridge,4/22/2023 15:27,Roses,9,162.44
Michael Tate,barbara17@example.net,ABC Foodmart - Bay Ridge,4/22/2023 15:27,Sunflowers,2,25.24
Michael Tate,barbara17@example.net,ABC Foodmart - Bay Ridge,4/22/2023 15:27,Ice Cream,4,110.52
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Pasta,3,123.43
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Bagel,4,113.37
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Salmon Fillet,5,137.67
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Roast Beef,8,101.5
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Yogurt,9,20.19
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Soda,10,96.5
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Yogurt,3,108.7
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Water,1,100.8
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Lobster,1,38.34
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Beef Steak,9,120.94
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Soda,2,165.28
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Cough Syrup,8,95.26
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Frozen Vegetables,8,53.71
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Water,1,140.69
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Soda,6,81.92
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Pork Loin,7,83.35
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Sunflowers,4,90.84
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Apples,9,62.44
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Soda,3,92.54
Heidi Garcia,mayvalerie@example.com,ABC Foodmart - Whitestone,3/31/2024 20:22,Beans,5,41.88
