Employee Name,Manager Name,Email,Date of Hire,Store,Shift Start,Shift End,Station,Hourly Pay Rate
"Sean, Mr.","Farrell, Christopher",mr..sean@abcfoodmart.com,3/25/2023,ABC Foodmart - Staten Island,4/14/2023 0:00,4/14/2023 0:00,seafood,12.6
"Foster, Jennifer","Hoffman, Tina",jennifer.foster@abcfoodmart.com,6/15/2023,ABC Foodmart - DUMBO,7/8/2023 0:00,7/8/2023 0:00,dry goods,17.43
"Shah, Amanda","Hoffman, Tina",amanda.shah@abcfoodmart.com,10/7/2023,ABC Foodmart - DUMBO,10/18/2023 0:00,10/18/2023 0:00,cashier,16.21
"Garcia, Sarah","Ellis, Grant",sarah.garcia@abcfoodmart.com,12/14/2022,ABC Foodmart - Tribeca,1/6/2023 0:00,1/6/2023 0:00,cashier,15.74
"Riley, Ashley","Hoffman, Tina",ashley.riley@abcfoodmart.com,8/17/2022,ABC Foodmart - DUMBO,8/27/2022 0:00,8/27/2022 0:00,customer service,13.23
"Campbell, Brittany","Ellis, Grant",brittany.campbell@abcfoodmart.com,3/25/2023,ABC Foodmart - Tribeca,4/23/2023 0:00,4/23/2023 0:00,fresh produce,12.82
"Burns, Kendra","Ellis, Grant",kendra.burns@abcfoodmart.com,12/13/2022,ABC Foodmart - Tribeca,12/26/2022 0:00,12/26/2022 0:00,floral,13.21
"Ellis, Lauren","Flores, Angela",lauren.ellis@abcfoodmart.com,10/22/2022,ABC Foodmart - Whitestone,11/11/2022 0:00,11/11/2022 0:00,deli,18.09
"Walters, Jay","Farrell, Christopher",jay.walters@abcfoodmart.com,12/17/2023,ABC Foodmart - Staten Island,1/11/2024 0:00,1/11/2024 0:00,cashier,12.85
"Hull, Shane","Farrell, Christopher",shane.hull@abcfoodmart.com,1/9/2024,ABC Foodmart - Staten Island,1/23/2024 0:00,1/23/2024 0:00,bakery,16.96
"Wells, Monica","Cooper, Robert",monica.wells@abcfoodmart.com,3/12/2024,ABC Foodmart - Bay Ridge,3/26/2024 0:00,3/26/2024 0:00,deli,14.08
"Campbell, Brittany","Ellis, Grant",brittany.campbell@abcfoodmart.com,3/25/2023,ABC Foodmart - Tribeca,5/4/2023 0:00,5/4/2023 0:00,cashier,16.73
"Carroll, Eric","Cooper, Robert",eric.carroll@abcfoodmart.com,12/26/2022,ABC Foodmart - Bay Ridge,1/2/2023 0:00,1/2/2023 0:00,cashier,18.14
"White, Kenneth","Farrell, Christopher",kenneth.white@abcfoodmart.com,1/22/2023,ABC Foodmart - Staten Island,2/13/2023 0:00,2/13/2023 0:00,pharmacy,14.45
"Werner, Kara","Farrell, Christopher",kara.werner@abcfoodmart.com,10/12/2023,ABC Foodmart - Staten Island,10/18/2023 0:00,10/18/2023 0:00,seafood,14.91
"Tate, Harry","Flores, Angela",harry.tate@abcfoodmart.com,9/18/2022,ABC Foodmart - Whitestone,10/11/2022 0:00,10/11/2022 0:00,frozen foods,15.77
"Sosa, David","Ellis, Grant",david.sosa@abcfoodmart.com,7/27/2023,ABC Foodmart - Tribeca,8/19/2023 0:00,8/19/2023 0:00,dairy,15.68
